Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
85,2,Sep 8 2012,Sat,Brigham Young,45,,Weber State,13,
86,2,Sep 8 2012,Sat,Buffalo,56,,Morgan State,34,
87,2,Sep 8 2012,Sat,California,50,,Southern Utah,31,
88,2,Sep 8 2012,Sat,(12) Clemson,52,,Ball State,27,
89,2,Sep 8 2012,Sat,(24) Florida,20,@,Texas A&M,17,
90,2,Sep 8 2012,Sat,Florida International,41,,Akron,38,
91,2,Sep 8 2012,Sat,(6) Florida State,55,,Savannah State,0,
92,2,Sep 8 2012,Sat,(7) Georgia,41,@,Missouri,20,
93,2,Sep 8 2012,Sat,Georgia Tech,59,,Presbyterian,3,
94,2,Sep 8 2012,Sat,Illinois State,31,@,Eastern Michigan,14,
95,2,Sep 8 2012,Sat,Indiana,45,@,Massachusetts,6,
96,2,Sep 8 2012,Sat,Iowa State,9,@,Iowa,6,
97,2,Sep 8 2012,Sat,(21) Kansas State,52,,Miami (FL),13,
98,2,Sep 8 2012,Sat,Kentucky,47,,Kent State,14,
99,2,Sep 8 2012,Sat,(3) Louisiana State,41,,Washington,3,
100,2,Sep 8 2012,Sat,Louisiana Tech,56,@,Houston,49,
101,2,Sep 8 2012,Sat,Louisiana-Lafayette,37,@,Troy,24,
102,2,Sep 8 2012,Sat,Louisiana-Monroe,34,@,(8) Arkansas,31,Little Rock AR
103,2,Sep 8 2012,Sat,(23) Louisville,35,,Missouri State,7,
104,2,Sep 8 2012,Sat,Marshall,52,,Western Carolina,24,
105,2,Sep 8 2012,Sat,Maryland,36,@,Temple,27,
106,2,Sep 8 2012,Sat,Miami (OH),30,,Southern Illinois,14,
107,2,Sep 8 2012,Sat,(19) Michigan,31,,Air Force,25,
108,2,Sep 8 2012,Sat,(11) Michigan State,41,@,Central Michigan,7,
109,2,Sep 8 2012,Sat,Middle Tennessee State,31,,Florida Atlantic,17,
110,2,Sep 8 2012,Sat,Minnesota,44,,New Hampshire,7,
111,2,Sep 8 2012,Sat,Mississippi,28,,Texas-El Paso,10,
112,2,Sep 8 2012,Sat,Mississippi State,28,,Auburn,10,
