Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
366,6,Oct 6 2012,Sat,(9) Notre Dame,41,,Miami (FL),3,Chicago IL
367,6,Oct 6 2012,Sat,Ohio,38,,Buffalo,31,
368,6,Oct 6 2012,Sat,(12) Ohio State,63,,(21) Nebraska,38,
369,6,Oct 6 2012,Sat,(17) Oklahoma,41,@,Texas Tech,20,
370,6,Oct 6 2012,Sat,(2) Oregon,52,,(23) Washington,21,
371,6,Oct 6 2012,Sat,(14) Oregon State,19,,Washington State,6,
372,6,Oct 6 2012,Sat,Penn State,39,,(24) Northwestern,28,
373,6,Oct 6 2012,Sat,(22) Rutgers,19,,Connecticut,3,
374,6,Oct 6 2012,Sat,San Diego State,52,,Hawaii,14,
375,6,Oct 6 2012,Sat,(6) South Carolina,35,,(5) Georgia,7,
376,6,Oct 6 2012,Sat,Southern Methodist,17,@,Texas-El Paso,0,
377,6,Oct 6 2012,Sat,(18) Stanford,54,,Arizona,48,
378,6,Oct 6 2012,Sat,Temple,37,,South Florida,28,
379,6,Oct 6 2012,Sat,Texas A&M,30,@,Mississippi,27,
380,6,Oct 6 2012,Sat,Toledo,50,,Central Michigan,35,
381,6,Oct 6 2012,Sat,Tulsa,45,@,Marshall,38,
382,6,Oct 6 2012,Sat,Vanderbilt,19,@,Missouri,15,
383,6,Oct 6 2012,Sat,(8) West Virginia,48,@,(11) Texas,45,
384,6,Oct 6 2012,Sat,Western Michigan,52,,Massachusetts,14,
385,6,Oct 6 2012,Sat,Wisconsin,31,,Illinois,14,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
386,7,Oct 11 2012,Thu,Arizona State,51,@,Colorado,17,
387,7,Oct 11 2012,Thu,Tulsa,33,,Texas-El Paso,11,
388,7,Oct 11 2012,Thu,Western Kentucky,31,@,Troy,26,
389,7,Oct 12 2012,Fri,Navy,31,@,Central Michigan,13,
390,7,Oct 13 2012,Sat,Air Force,28,@,Wyoming,27,
391,7,Oct 13 2012,Sat,(1) Alabama,42,@,Missouri,10,
392,7,Oct 13 2012,Sat,Arkansas,49,,Kentucky,7,
393,7,Oct 13 2012,Sat,Arkansas State,36,,South Alabama,29,
394,7,Oct 13 2012,Sat,Ball State,30,,Western Michigan,24,
395,7,Oct 13 2012,Sat,(24) Boise State,20,,Fresno State,10,
396,7,Oct 13 2012,Sat,Bowling Green State,37,,Miami (OH),12,
397,7,Oct 13 2012,Sat,California,31,@,Washington State,17,
398,7,Oct 13 2012,Sat,Central Florida,38,,Southern Mississippi,31,
399,7,Oct 13 2012,Sat,(21) Cincinnati,49,,Fordham,17,
400,7,Oct 13 2012,Sat,East Carolina,41,,Memphis,7,
401,7,Oct 13 2012,Sat,(4) Florida,31,@,Vanderbilt,17,
402,7,Oct 13 2012,Sat,(12) Florida State,51,,Boston College,7,
403,7,Oct 13 2012,Sat,Houston,39,,Alabama-Birmingham,17,
404,7,Oct 13 2012,Sat,Iowa,19,@,Michigan State,16,
405,7,Oct 13 2012,Sat,(6) Kansas State,27,@,Iowa State,21,
406,7,Oct 13 2012,Sat,Kent State,31,@,Army,17,
407,7,Oct 13 2012,Sat,(9) Louisiana State,23,,(3) South Carolina,21,
408,7,Oct 13 2012,Sat,Louisiana-Monroe,35,,Florida Atlantic,14,
409,7,Oct 13 2012,Sat,(18) Louisville,45,@,Pittsburgh,35,
410,7,Oct 13 2012,Sat,Maryland,27,@,Virginia,20,
411,7,Oct 13 2012,Sat,(25) Michigan,45,,Illinois,0,
412,7,Oct 13 2012,Sat,Middle Tennessee State,34,@,Florida International,30,
413,7,Oct 13 2012,Sat,Mississippi,41,,Auburn,20,
414,7,Oct 13 2012,Sat,(19) Mississippi State,41,,Tennessee,31,
415,7,Oct 13 2012,Sat,Nevada,42,@,Nevada-Las Vegas,37,
416,7,Oct 13 2012,Sat,New Mexico,35,@,Hawaii,23,
417,7,Oct 13 2012,Sat,North Carolina,18,@,Miami (FL),14,
418,7,Oct 13 2012,Sat,Northern Illinois,45,,Buffalo,3,
419,7,Oct 13 2012,Sat,Northwestern,21,@,Minnesota,13,
420,7,Oct 13 2012,Sat,(7) Notre Dame,20,,(17) Stanford,13,
421,7,Oct 13 2012,Sat,Ohio,34,,Akron,28,
422,7,Oct 13 2012,Sat,(8) Ohio State,52,@,Indiana,49,
423,7,Oct 13 2012,Sat,(13) Oklahoma,63,,(15) Texas,21,Dallas TX
424,7,Oct 13 2012,Sat,Oklahoma State,20,@,Kansas,14,
425,7,Oct 13 2012,Sat,(10) Oregon State,42,@,Brigham Young,24,
426,7,Oct 13 2012,Sat,Rice,34,,Texas-San Antonio,14,
427,7,Oct 13 2012,Sat,(20) Rutgers,23,,Syracuse,15,
428,7,Oct 13 2012,Sat,San Diego State,38,,Colorado State,14,
429,7,Oct 13 2012,Sat,(11) Southern California,24,@,Washington,14,
430,7,Oct 13 2012,Sat,Temple,17,@,Connecticut,14,
431,7,Oct 13 2012,Sat,(22) Texas A&M,59,@,(23) Louisiana Tech,57,
432,7,Oct 13 2012,Sat,Texas Christian,49,@,Baylor,21,
433,7,Oct 13 2012,Sat,Texas State,38,,Idaho,7,
434,7,Oct 13 2012,Sat,Texas Tech,49,,(5) West Virginia,14,
435,7,Oct 13 2012,Sat,Toledo,52,@,Eastern Michigan,47,
436,7,Oct 13 2012,Sat,Tulane,27,,Southern Methodist,26,
437,7,Oct 13 2012,Sat,UCLA,21,,Utah,14,
438,7,Oct 13 2012,Sat,Utah State,49,@,San Jose State,27,
439,7,Oct 13 2012,Sat,Virginia Tech,41,,Duke,20,
440,7,Oct 13 2012,Sat,Wisconsin,38,@,Purdue,14,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
441,8,Oct 16 2012,Tue,Louisiana-Lafayette,,@,North Texas,,
442,8,Oct 18 2012,Thu,Houston,,@,Southern Methodist,,
443,8,Oct 18 2012,Thu,(2) Oregon,,@,(24) Arizona State,,
444,8,Oct 19 2012,Fri,Connecticut,,@,Syracuse,,
445,8,Oct 20 2012,Sat,(1) Alabama,,@,Tennessee,,
446,8,Oct 20 2012,Sat,Army,,@,Eastern Michigan,,
447,8,Oct 20 2012,Sat,Auburn,,@,Vanderbilt,,
448,8,Oct 20 2012,Sat,Ball State,,@,Central Michigan,,
449,8,Oct 20 2012,Sat,Baylor,,@,Texas,,
450,8,Oct 20 2012,Sat,Boston College,,@,Georgia Tech,,
451,8,Oct 20 2012,Sat,Bowling Green State,,@,Massachusetts,,
452,8,Oct 20 2012,Sat,Brigham Young,,@,(5) Notre Dame,,
453,8,Oct 20 2012,Sat,Central Florida,,@,Memphis,,
454,8,Oct 20 2012,Sat,(18) Cincinnati,,@,Toledo,,
455,8,Oct 20 2012,Sat,Colorado,,@,(9) Southern California,,
456,8,Oct 20 2012,Sat,East Carolina,,@,Alabama-Birmingham,,
457,8,Oct 20 2012,Sat,Florida Atlantic,,@,South Alabama,,
458,8,Oct 20 2012,Sat,Florida International,,@,Troy,,
459,8,Oct 20 2012,Sat,(10) Florida State,,@,Miami (FL),,
460,8,Oct 20 2012,Sat,(12) Georgia,,@,Kentucky,,
461,8,Oct 20 2012,Sat,Idaho,,@,Louisiana Tech,,
462,8,Oct 20 2012,Sat,Indiana,,@,Navy,,
463,8,Oct 20 2012,Sat,Iowa State,,@,Oklahoma State,,
464,8,Oct 20 2012,Sat,Kansas,,@,(7) Oklahoma,,
465,8,Oct 20 2012,Sat,(3) Kansas State,,@,(15) West Virginia,,
466,8,Oct 20 2012,Sat,(6) Louisiana State,,@,(19) Texas A&M,,
467,8,Oct 20 2012,Sat,Louisiana-Monroe,,@,Western Kentucky,,
468,8,Oct 20 2012,Sat,Marshall,,@,Southern Mississippi,,
469,8,Oct 20 2012,Sat,Michigan State,,@,(25) Michigan,,
470,8,Oct 20 2012,Sat,Middle Tennessee State,,@,(16) Mississippi State,,
471,8,Oct 20 2012,Sat,Minnesota,,@,Wisconsin,,
472,8,Oct 20 2012,Sat,Nebraska,,@,Northwestern,,
473,8,Oct 20 2012,Sat,Nevada-Las Vegas,,@,(22) Boise State,,
474,8,Oct 20 2012,Sat,New Mexico,,@,Air Force,,
475,8,Oct 20 2012,Sat,New Mexico State,,@,Utah State,,
476,8,Oct 20 2012,Sat,North Carolina,,@,Duke,,
477,8,Oct 20 2012,Sat,North Carolina State,,@,Maryland,,
478,8,Oct 20 2012,Sat,Northern Illinois,,@,Akron,,
479,8,Oct 20 2012,Sat,Penn State,,@,Iowa,,
480,8,Oct 20 2012,Sat,Pittsburgh,,@,Buffalo,,
481,8,Oct 20 2012,Sat,Purdue,,@,Ohio State,,
482,8,Oct 20 2012,Sat,Rice,,@,Tulsa,,
483,8,Oct 20 2012,Sat,(17) Rutgers,,@,Temple,,
484,8,Oct 20 2012,Sat,San Diego State,,@,Nevada,,
485,8,Oct 20 2012,Sat,San Jose State,,@,Texas-San Antonio,,
486,8,Oct 20 2012,Sat,(8) South Carolina,,@,(4) Florida,,
487,8,Oct 20 2012,Sat,South Florida,,@,(14) Louisville,,
488,8,Oct 20 2012,Sat,(23) Stanford,,@,California,,
489,8,Oct 20 2012,Sat,(20) Texas Tech,,@,(21) Texas Christian,,
490,8,Oct 20 2012,Sat,Tulane,,@,Texas-El Paso,,
491,8,Oct 20 2012,Sat,Utah,,@,(11) Oregon State,,
492,8,Oct 20 2012,Sat,Virginia Tech,,@,(13) Clemson,,
493,8,Oct 20 2012,Sat,Wake Forest,,@,Virginia,,
494,8,Oct 20 2012,Sat,Washington,,@,Arizona,,
495,8,Oct 20 2012,Sat,Western Michigan,,@,Kent State,,
496,8,Oct 20 2012,Sat,Wyoming,,@,Fresno State,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
497,9,Oct 23 2012,Tue,Arkansas State,,@,Louisiana-Lafayette,,
498,9,Oct 25 2012,Thu,(13) Clemson,,@,Wake Forest,,
499,9,Oct 26 2012,Fri,(18) Cincinnati,,@,(14) Louisville,,
500,9,Oct 26 2012,Fri,Nevada,,@,Air Force,,
501,9,Oct 27 2012,Sat,Akron,,@,Central Michigan,,
502,9,Oct 27 2012,Sat,Alabama-Birmingham,,@,Tulane,,
503,9,Oct 27 2012,Sat,Ball State,,@,Army,,
504,9,Oct 27 2012,Sat,Baylor,,@,Iowa State,,
505,9,Oct 27 2012,Sat,(22) Boise State,,@,Wyoming,,
506,9,Oct 27 2012,Sat,Brigham Young,,@,Georgia Tech,,
507,9,Oct 27 2012,Sat,California,,@,Utah,,
508,9,Oct 27 2012,Sat,Central Florida,,@,Marshall,,
509,9,Oct 27 2012,Sat,Colorado,,@,(2) Oregon,,
510,9,Oct 27 2012,Sat,Duke,,@,(10) Florida State,,
511,9,Oct 27 2012,Sat,Eastern Michigan,,@,Bowling Green State,,
512,9,Oct 27 2012,Sat,Fresno State,,@,New Mexico,,
513,9,Oct 27 2012,Sat,(12) Georgia,,,(4) Florida,,Jacksonville FL
514,9,Oct 27 2012,Sat,Hawaii,,@,Colorado State,,
515,9,Oct 27 2012,Sat,Indiana,,@,Illinois,,
516,9,Oct 27 2012,Sat,Iowa,,@,Northwestern,,
517,9,Oct 27 2012,Sat,Kent State,,@,(17) Rutgers,,
518,9,Oct 27 2012,Sat,Kentucky,,@,Missouri,,
519,9,Oct 27 2012,Sat,Louisiana Tech,,@,New Mexico State,,
520,9,Oct 27 2012,Sat,Maryland,,@,Boston College,,
521,9,Oct 27 2012,Sat,Massachusetts,,@,Vanderbilt,,
522,9,Oct 27 2012,Sat,Memphis,,@,Southern Methodist,,
523,9,Oct 27 2012,Sat,(25) Michigan,,@,Nebraska,,
524,9,Oct 27 2012,Sat,Michigan State,,@,Wisconsin,,
525,9,Oct 27 2012,Sat,Mississippi,,@,Arkansas,,Little Rock AR
526,9,Oct 27 2012,Sat,(16) Mississippi State,,@,(1) Alabama,,
527,9,Oct 27 2012,Sat,Navy,,@,East Carolina,,
528,9,Oct 27 2012,Sat,Nevada-Las Vegas,,@,San Diego State,,
529,9,Oct 27 2012,Sat,North Carolina State,,@,North Carolina,,
530,9,Oct 27 2012,Sat,North Texas,,@,Middle Tennessee State,,
531,9,Oct 27 2012,Sat,Northern Illinois,,@,Western Michigan,,
532,9,Oct 27 2012,Sat,(5) Notre Dame,,@,(7) Oklahoma,,
533,9,Oct 27 2012,Sat,Ohio,,@,Miami (OH),,
534,9,Oct 27 2012,Sat,Ohio State,,@,Penn State,,
535,9,Oct 27 2012,Sat,(11) Oregon State,,@,Washington,,
536,9,Oct 27 2012,Sat,Purdue,,@,Minnesota,,
537,9,Oct 27 2012,Sat,South Alabama,,@,Louisiana-Monroe,,
538,9,Oct 27 2012,Sat,(9) Southern California,,@,Arizona,,
539,9,Oct 27 2012,Sat,Southern Mississippi,,@,Rice,,
540,9,Oct 27 2012,Sat,Syracuse,,@,South Florida,,
541,9,Oct 27 2012,Sat,Temple,,@,Pittsburgh,,
542,9,Oct 27 2012,Sat,Tennessee,,@,(8) South Carolina,,
543,9,Oct 27 2012,Sat,Texas,,@,Kansas,,
544,9,Oct 27 2012,Sat,(19) Texas A&M,,@,Auburn,,
545,9,Oct 27 2012,Sat,(21) Texas Christian,,@,Oklahoma State,,
546,9,Oct 27 2012,Sat,Texas State,,@,San Jose State,,
547,9,Oct 27 2012,Sat,(20) Texas Tech,,@,(3) Kansas State,,
548,9,Oct 27 2012,Sat,Texas-El Paso,,@,Houston,,
549,9,Oct 27 2012,Sat,Toledo,,@,Buffalo,,
550,9,Oct 27 2012,Sat,Troy,,@,Florida Atlantic,,
551,9,Oct 27 2012,Sat,UCLA,,@,(24) Arizona State,,
552,9,Oct 27 2012,Sat,Utah State,,@,Texas-San Antonio,,
553,9,Oct 27 2012,Sat,Washington State,,@,(23) Stanford,,
554,9,Oct 27 2012,Sat,Western Kentucky,,@,Florida International,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
555,10,Nov 1 2012,Thu,Eastern Michigan,,@,Ohio,,
556,10,Nov 1 2012,Thu,Middle Tennessee State,,@,Western Kentucky,,
557,10,Nov 1 2012,Thu,Virginia Tech,,@,Miami (FL),,
558,10,Nov 2 2012,Fri,Washington,,@,California,,
559,10,Nov 3 2012,Sat,Air Force,,@,Army,,
560,10,Nov 3 2012,Sat,Akron,,@,Kent State,,
561,10,Nov 3 2012,Sat,(1) Alabama,,@,(6) Louisiana State,,
562,10,Nov 3 2012,Sat,Alabama-Birmingham,,@,Southern Mississippi,,
563,10,Nov 3 2012,Sat,Arizona,,@,UCLA,,
564,10,Nov 3 2012,Sat,(24) Arizona State,,@,(11) Oregon State,,
565,10,Nov 3 2012,Sat,Arkansas State,,@,North Texas,,
566,10,Nov 3 2012,Sat,Boston College,,@,Wake Forest,,
567,10,Nov 3 2012,Sat,(13) Clemson,,@,Duke,,
568,10,Nov 3 2012,Sat,Colorado State,,@,Wyoming,,
569,10,Nov 3 2012,Sat,Connecticut,,@,South Florida,,
570,10,Nov 3 2012,Sat,Florida Atlantic,,@,Navy,,
571,10,Nov 3 2012,Sat,Florida International,,@,South Alabama,,
572,10,Nov 3 2012,Sat,Georgia Tech,,@,Maryland,,
573,10,Nov 3 2012,Sat,Hawaii,,@,Fresno State,,
574,10,Nov 3 2012,Sat,Houston,,@,East Carolina,,
575,10,Nov 3 2012,Sat,Illinois,,@,Ohio State,,
576,10,Nov 3 2012,Sat,Iowa,,@,Indiana,,
577,10,Nov 3 2012,Sat,Kansas,,@,Baylor,,
578,10,Nov 3 2012,Sat,Louisiana-Lafayette,,@,Louisiana-Monroe,,
579,10,Nov 3 2012,Sat,Massachusetts,,@,Northern Illinois,,
580,10,Nov 3 2012,Sat,Memphis,,@,Marshall,,
581,10,Nov 3 2012,Sat,Miami (OH),,@,Buffalo,,
582,10,Nov 3 2012,Sat,(25) Michigan,,@,Minnesota,,
583,10,Nov 3 2012,Sat,Mississippi,,@,(12) Georgia,,
584,10,Nov 3 2012,Sat,Missouri,,@,(4) Florida,,
585,10,Nov 3 2012,Sat,Nebraska,,@,Michigan State,,
586,10,Nov 3 2012,Sat,New Mexico,,@,Nevada-Las Vegas,,
587,10,Nov 3 2012,Sat,New Mexico State,,@,Auburn,,
588,10,Nov 3 2012,Sat,(7) Oklahoma,,@,Iowa State,,
589,10,Nov 3 2012,Sat,Oklahoma State,,@,(3) Kansas State,,
590,10,Nov 3 2012,Sat,(2) Oregon,,@,(9) Southern California,,
591,10,Nov 3 2012,Sat,Penn State,,@,Purdue,,
592,10,Nov 3 2012,Sat,Pittsburgh,,@,(5) Notre Dame,,
593,10,Nov 3 2012,Sat,Rice,,@,Tulane,,
594,10,Nov 3 2012,Sat,San Diego State,,@,(22) Boise State,,
595,10,Nov 3 2012,Sat,San Jose State,,@,Idaho,,
596,10,Nov 3 2012,Sat,Southern Methodist,,@,Central Florida,,
597,10,Nov 3 2012,Sat,(23) Stanford,,@,Colorado,,
598,10,Nov 3 2012,Sat,Syracuse,,@,(18) Cincinnati,,
599,10,Nov 3 2012,Sat,Temple,,@,(14) Louisville,,
600,10,Nov 3 2012,Sat,Texas,,@,(20) Texas Tech,,
601,10,Nov 3 2012,Sat,(19) Texas A&M,,@,(16) Mississippi State,,
602,10,Nov 3 2012,Sat,(21) Texas Christian,,@,(15) West Virginia,,
603,10,Nov 3 2012,Sat,Texas State,,@,Utah State,,
604,10,Nov 3 2012,Sat,Texas-San Antonio,,@,Louisiana Tech,,
605,10,Nov 3 2012,Sat,Troy,,@,Tennessee,,
606,10,Nov 3 2012,Sat,Tulsa,,@,Arkansas,,
607,10,Nov 3 2012,Sat,Vanderbilt,,@,Kentucky,,
608,10,Nov 3 2012,Sat,Virginia,,@,North Carolina State,,
609,10,Nov 3 2012,Sat,Washington State,,@,Utah,,
610,10,Nov 3 2012,Sat,Western Michigan,,@,Central Michigan,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
611,11,Nov 6 2012,Tue,Ball State,,@,Toledo,,
612,11,Nov 7 2012,Wed,Bowling Green State,,@,Ohio,,
613,11,Nov 8 2012,Thu,(10) Florida State,,@,Virginia Tech,,
614,11,Nov 8 2012,Thu,Louisiana-Monroe,,@,Arkansas State,,
615,11,Nov 9 2012,Fri,Pittsburgh,,@,Connecticut,,
616,11,Nov 10 2012,Sat,Air Force,,@,San Diego State,,
617,11,Nov 10 2012,Sat,(24) Arizona State,,@,(9) Southern California,,
618,11,Nov 10 2012,Sat,Arkansas,,@,(8) South Carolina,,
619,11,Nov 10 2012,Sat,Army,,@,(17) Rutgers,,
620,11,Nov 10 2012,Sat,Baylor,,@,(7) Oklahoma,,
621,11,Nov 10 2012,Sat,(22) Boise State,,@,Hawaii,,
622,11,Nov 10 2012,Sat,Central Florida,,@,Texas-El Paso,,
623,11,Nov 10 2012,Sat,Central Michigan,,@,Eastern Michigan,,
624,11,Nov 10 2012,Sat,(18) Cincinnati,,@,Temple,,
625,11,Nov 10 2012,Sat,Colorado,,@,Arizona,,
626,11,Nov 10 2012,Sat,Florida Atlantic,,@,Western Kentucky,,
627,11,Nov 10 2012,Sat,Fresno State,,@,Nevada,,
628,11,Nov 10 2012,Sat,(12) Georgia,,@,Auburn,,
629,11,Nov 10 2012,Sat,Georgia Tech,,@,North Carolina,,
630,11,Nov 10 2012,Sat,Idaho,,@,Brigham Young,,
631,11,Nov 10 2012,Sat,Iowa State,,@,Texas,,
632,11,Nov 10 2012,Sat,Kansas,,@,(20) Texas Tech,,
633,11,Nov 10 2012,Sat,(3) Kansas State,,@,(21) Texas Christian,,
634,11,Nov 10 2012,Sat,Kent State,,@,Miami (OH),,
635,11,Nov 10 2012,Sat,Louisiana Tech,,@,Texas State,,
636,11,Nov 10 2012,Sat,Louisiana-Lafayette,,@,(4) Florida,,
637,11,Nov 10 2012,Sat,(14) Louisville,,@,Syracuse,,
638,11,Nov 10 2012,Sat,Marshall,,@,Alabama-Birmingham,,
639,11,Nov 10 2012,Sat,Maryland,,@,(13) Clemson,,
640,11,Nov 10 2012,Sat,Massachusetts,,@,Akron,,
641,11,Nov 10 2012,Sat,McNeese State,,@,Texas-San Antonio,,
642,11,Nov 10 2012,Sat,Miami (FL),,@,Virginia,,
643,11,Nov 10 2012,Sat,Minnesota,,@,Illinois,,
644,11,Nov 10 2012,Sat,(16) Mississippi State,,@,(6) Louisiana State,,
645,11,Nov 10 2012,Sat,Missouri,,@,Tennessee,,
646,11,Nov 10 2012,Sat,Navy,,@,Troy,,
647,11,Nov 10 2012,Sat,Nevada-Las Vegas,,@,Colorado State,,
648,11,Nov 10 2012,Sat,Northwestern,,@,(25) Michigan,,
649,11,Nov 10 2012,Sat,(5) Notre Dame,,@,Boston College,,
650,11,Nov 10 2012,Sat,(2) Oregon,,@,California,,
651,11,Nov 10 2012,Sat,(11) Oregon State,,@,(23) Stanford,,
652,11,Nov 10 2012,Sat,Penn State,,@,Nebraska,,
653,11,Nov 10 2012,Sat,Purdue,,@,Iowa,,
654,11,Nov 10 2012,Sat,San Jose State,,@,New Mexico State,,
655,11,Nov 10 2012,Sat,South Alabama,,@,North Texas,,
656,11,Nov 10 2012,Sat,Southern Mississippi,,@,Southern Methodist,,
657,11,Nov 10 2012,Sat,(19) Texas A&M,,@,(1) Alabama,,
658,11,Nov 10 2012,Sat,Tulane,,@,Memphis,,
659,11,Nov 10 2012,Sat,Tulsa,,@,Houston,,
660,11,Nov 10 2012,Sat,UCLA,,@,Washington State,,
661,11,Nov 10 2012,Sat,Utah,,@,Washington,,
662,11,Nov 10 2012,Sat,Vanderbilt,,@,Mississippi,,
663,11,Nov 10 2012,Sat,Wake Forest,,@,North Carolina State,,
664,11,Nov 10 2012,Sat,(15) West Virginia,,@,Oklahoma State,,
665,11,Nov 10 2012,Sat,Western Michigan,,@,Buffalo,,
666,11,Nov 10 2012,Sat,Wisconsin,,@,Indiana,,
667,11,Nov 10 2012,Sat,Wyoming,,@,New Mexico,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
668,12,Nov 14 2012,Wed,Ohio,,@,Ball State,,
669,12,Nov 14 2012,Wed,Toledo,,@,Northern Illinois,,
670,12,Nov 15 2012,Thu,North Carolina,,@,Virginia,,
671,12,Nov 16 2012,Fri,Florida International,,@,Florida Atlantic,,
672,12,Nov 16 2012,Fri,Hawaii,,@,Air Force,,
673,12,Nov 17 2012,Sat,Alabama A&M,,@,Auburn,,
674,12,Nov 17 2012,Sat,Arizona,,@,Utah,,
675,12,Nov 17 2012,Sat,Arkansas,,@,(16) Mississippi State,,
676,12,Nov 17 2012,Sat,Arkansas State,,@,Troy,,
677,12,Nov 17 2012,Sat,Brigham Young,,@,San Jose State,,
678,12,Nov 17 2012,Sat,Buffalo,,@,Massachusetts,,
679,12,Nov 17 2012,Sat,California,,@,(11) Oregon State,,
680,12,Nov 17 2012,Sat,Central Florida,,@,Tulsa,,
681,12,Nov 17 2012,Sat,Colorado State,,@,(22) Boise State,,
682,12,Nov 17 2012,Sat,Duke,,@,Georgia Tech,,
683,12,Nov 17 2012,Sat,East Carolina,,@,Tulane,,
684,12,Nov 17 2012,Sat,Eastern Michigan,,@,Western Michigan,,
685,12,Nov 17 2012,Sat,(10) Florida State,,@,Maryland,,
686,12,Nov 17 2012,Sat,Georgia Southern,,@,(12) Georgia,,
687,12,Nov 17 2012,Sat,Houston,,@,Marshall,,
688,12,Nov 17 2012,Sat,Indiana,,@,Penn State,,
689,12,Nov 17 2012,Sat,Iowa,,@,(25) Michigan,,
690,12,Nov 17 2012,Sat,Iowa State,,@,Kansas,,
691,12,Nov 17 2012,Sat,Jacksonville State,,@,(4) Florida,,
692,12,Nov 17 2012,Sat,(3) Kansas State,,@,Baylor,,
693,12,Nov 17 2012,Sat,Kent State,,@,Bowling Green State,,
694,12,Nov 17 2012,Sat,Memphis,,@,Alabama-Birmingham,,
695,12,Nov 17 2012,Sat,Miami (OH),,@,Central Michigan,,
696,12,Nov 17 2012,Sat,Middle Tennessee State,,@,South Alabama,,
697,12,Nov 17 2012,Sat,Minnesota,,@,Nebraska,,
698,12,Nov 17 2012,Sat,Mississippi,,@,(6) Louisiana State,,
699,12,Nov 17 2012,Sat,Nevada,,@,New Mexico,,
700,12,Nov 17 2012,Sat,North Carolina State,,@,(13) Clemson,,
701,12,Nov 17 2012,Sat,North Texas,,@,Louisiana-Monroe,,
702,12,Nov 17 2012,Sat,Northwestern,,@,Michigan State,,
703,12,Nov 17 2012,Sat,Ohio State,,@,Wisconsin,,
704,12,Nov 17 2012,Sat,(7) Oklahoma,,@,(15) West Virginia,,
705,12,Nov 17 2012,Sat,Purdue,,@,Illinois,,
706,12,Nov 17 2012,Sat,(17) Rutgers,,@,(18) Cincinnati,,
707,12,Nov 17 2012,Sat,Sam Houston State,,@,(19) Texas A&M,,
708,12,Nov 17 2012,Sat,Samford,,@,Kentucky,,
709,12,Nov 17 2012,Sat,South Florida,,@,Miami (FL),,
710,12,Nov 17 2012,Sat,(9) Southern California,,@,UCLA,,
711,12,Nov 17 2012,Sat,Southern Methodist,,@,Rice,,
712,12,Nov 17 2012,Sat,(23) Stanford,,@,(2) Oregon,,
713,12,Nov 17 2012,Sat,Syracuse,,@,Missouri,,
714,12,Nov 17 2012,Sat,Temple,,@,Army,,
715,12,Nov 17 2012,Sat,Tennessee,,@,Vanderbilt,,
716,12,Nov 17 2012,Sat,Texas State,,@,Navy,,
717,12,Nov 17 2012,Sat,(20) Texas Tech,,@,Oklahoma State,,
718,12,Nov 17 2012,Sat,Texas-El Paso,,@,Southern Mississippi,,
719,12,Nov 17 2012,Sat,Texas-San Antonio,,@,Idaho,,
720,12,Nov 17 2012,Sat,Utah State,,@,Louisiana Tech,,
721,12,Nov 17 2012,Sat,Virginia Tech,,@,Boston College,,
722,12,Nov 17 2012,Sat,Wake Forest,,@,(5) Notre Dame,,
723,12,Nov 17 2012,Sat,Washington,,@,Colorado,,
724,12,Nov 17 2012,Sat,Washington State,,@,(24) Arizona State,,
725,12,Nov 17 2012,Sat,Western Carolina,,@,(1) Alabama,,
726,12,Nov 17 2012,Sat,Western Kentucky,,@,Louisiana-Lafayette,,
727,12,Nov 17 2012,Sat,Wofford,,@,(8) South Carolina,,
728,12,Nov 17 2012,Sat,Wyoming,,@,Nevada-Las Vegas,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
729,13,Nov 20 2012,Tue,Akron,,@,Toledo,,
730,13,Nov 23 2012,Fri,(24) Arizona State,,@,Arizona,,
731,13,Nov 23 2012,Fri,Ball State,,@,Miami (OH),,
732,13,Nov 23 2012,Fri,Buffalo,,@,Bowling Green State,,Columbus OH
733,13,Nov 23 2012,Fri,Central Michigan,,@,Massachusetts,,
734,13,Nov 23 2012,Fri,(6) Louisiana State,,@,Arkansas,,
735,13,Nov 23 2012,Fri,Marshall,,@,East Carolina,,
736,13,Nov 23 2012,Fri,Nebraska,,@,Iowa,,
737,13,Nov 23 2012,Fri,Northern Illinois,,@,Eastern Michigan,,
738,13,Nov 23 2012,Fri,Ohio,,@,Kent State,,
739,13,Nov 23 2012,Fri,South Florida,,@,(18) Cincinnati,,
740,13,Nov 23 2012,Fri,Syracuse,,@,Temple,,
741,13,Nov 23 2012,Fri,Utah,,@,Colorado,,
742,13,Nov 23 2012,Fri,Washington,,@,Washington State,,
743,13,Nov 23 2012,Fri,(15) West Virginia,,@,Iowa State,,
744,13,Nov 24 2012,Sat,Air Force,,@,Fresno State,,
745,13,Nov 24 2012,Sat,Alabama-Birmingham,,@,Central Florida,,
746,13,Nov 24 2012,Sat,Auburn,,@,(1) Alabama,,
