Date,Visitor,Visitor Score,Home Team,Home Score,Line
11/17/2012,Arizona, ,Utah, , 
11/17/2012,Nevada-Reno, ,New Mexico, , 
11/17/2012,Oklahoma, ,West Virginia, , 
11/17/2012,Southern Cal, ,U.C.L.A., , 
11/17/2012,Texas Tech, ,Oklahoma State, , 
11/20/2012,Akron, ,Toledo, , 
11/23/2012,Buffalo, ,Bowling Green, , 
11/23/2012,Nebraska, ,Iowa, , 
11/23/2012,Ohio, ,Kent State, , 
11/23/2012,South Florida, ,Cincinnati, , 
11/23/2012,Central Michigan, ,Massachusetts, , 
11/23/2012,Marshall, ,East Carolina, , 
11/23/2012,Louisiana State, ,Arkansas, , 
11/23/2012,Utah, ,Colorado, , 
11/23/2012,Washington, ,Washington State, , 
11/23/2012,Northern Illinois, ,Eastern Michigan, , 
11/23/2012,Ball State, ,Miami-Ohio, , 
11/23/2012,Syracuse, ,Temple, , 
11/23/2012,Arizona State, ,Arizona, , 
11/24/2012,Missouri, ,Texas A+M, , 
11/24/2012,Texas Christian, ,Texas, , 
11/24/2012,Boston College, ,No Carolina State, , 
11/24/2012,Illinois, ,Northwestern, , 
11/24/2012,Indiana, ,Purdue, , 
11/24/2012,Michigan, ,Ohio State, , 
11/24/2012,Tulane, ,Houston, , 
11/24/2012,Maryland, ,North Carolina, , 
11/24/2012,North Texas, ,Western Kentucky, , 
11/24/2012,Texas State, ,Texas-San Antonio, , 
11/24/2012,Idaho, ,Utah State, , 
11/24/2012,Air Force, ,Fresno State, , 
11/24/2012,Brigham Young, ,New Mexico State, , 
11/24/2012,Florida, ,Florida State, , 
11/24/2012,Georgia Tech, ,Georgia, , 
11/24/2012,Kentucky, ,Tennessee, , 
11/24/2012,Michigan State, ,Minnesota, , 
11/24/2012,Notre Dame, ,Southern Cal, , 
11/24/2012,New Mexico, ,Colorado State, , 
11/24/2012,San Diego State, ,Wyoming, , 
11/24/2012,Southern Miss, ,Memphis, , 
11/24/2012,Stanford, ,U.C.L.A., , 
11/24/2012,Tulsa, ,S-M-U, , 
11/24/2012,West Virginia, ,Iowa State, , 
11/24/2012,Louisiana Tech, ,San Jose State, , 
11/24/2012,Rice, ,UTEP, , 
11/24/2012,U-A-B, ,U-C-F, , 
11/24/2012,Wisconsin, ,Penn State, , 
11/24/2012,Miami-Florida, ,Duke, , 
11/24/2012,Mississippi State, ,Mississippi, , 
11/24/2012,South Carolina, ,Clemson, , 
11/24/2012,Virginia, ,Virginia Tech, , 
11/24/2012,Auburn, ,Alabama, , 
11/24/2012,Baylor, ,Texas Tech, , 
11/24/2012,Connecticut, ,Louisville, , 
11/24/2012,UL-Monroe, ,Florida Intl, , 
11/24/2012,Oregon, ,Oregon State, , 
11/24/2012,Rutgers, ,Pittsburgh, , 
11/24/2012,South Alabama, ,UL-Lafayette, , 
11/24/2012,Vanderbilt, ,Wake Forest, , 
11/24/2012,Troy, ,Middle Tennessee, , 
11/24/2012,Nevada-Las Vegas, ,Hawaii, , 
11/24/2012,Oklahoma State, ,Oklahoma, , 
11/29/2012,Louisville, ,Rutgers, , 
12/01/2012,Bowling Green, ,Toledo, , 
12/01/2012,Kansas, ,West Virginia, , 
12/01/2012,Southern Miss, ,Tulsa, , 
12/01/2012,Texas, ,Kansas State, , 
12/01/2012,Vanderbilt, ,Alabama, , 
12/01/2012,Virginia Tech, ,Florida State, , 
12/01/2012,Washington, ,Southern Cal, , 
12/01/2012,Wisconsin, ,Michigan, , 
12/01/2012,Cincinnati, ,Connecticut, , 
12/01/2012,Boise State, ,Nevada-Reno, , 
12/01/2012,Middle Tennessee, ,Arkansas State, , 
12/01/2012,New Mexico State, ,Texas State, , 
12/01/2012,Oklahoma State, ,Baylor, , 
12/01/2012,Pittsburgh, ,South Florida, , 
12/01/2012,UL-Lafayette, ,Florida Atlantic, , 
12/01/2012,South Alabama, ,Hawaii, , 
12/01/2012,Oklahoma, ,Texas Christian, , 
12/01/2012,Nicholls State, ,Oregon State, , 
12/08/2012,Navy, ,Army, , 
