Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 1 2011,Thu,Arizona State,48,,California-Davis,14,
2,1,Sep 1 2011,Thu,Bowling Green State,32,@,Idaho,15,
3,1,Sep 1 2011,Thu,Central Michigan,21,,South Carolina State,6,
4,1,Sep 1 2011,Thu,Florida International,41,,North Texas,16,
5,1,Sep 1 2011,Thu,Georgia Tech,63,,Western Carolina,21,
6,1,Sep 1 2011,Thu,Kentucky,14,,Western Kentucky,3,Nashville TN
7,1,Sep 1 2011,Thu,Louisville,21,,Murray State,9,
8,1,Sep 1 2011,Thu,(20) Mississippi State,59,@,Memphis,14,
9,1,Sep 1 2011,Thu,Rutgers,48,,North Carolina Central,0,
10,1,Sep 1 2011,Thu,Syracuse,36,,Wake Forest,29,
11,1,Sep 1 2011,Thu,Temple,42,,Villanova,7,
12,1,Sep 1 2011,Thu,Toledo,58,,New Hampshire,22,
13,1,Sep 1 2011,Thu,Utah,27,,Montana State,10,
14,1,Sep 1 2011,Thu,(11) Wisconsin,51,,Nevada-Las Vegas,17,
15,1,Sep 2 2011,Fri,Baylor,50,,(14) Texas Christian,48,
16,1,Sep 2 2011,Fri,(17) Michigan State,28,,Youngstown State,6,
17,1,Sep 3 2011,Sat,Air Force,37,,South Dakota,20,
18,1,Sep 3 2011,Sat,(2) Alabama,48,,Kent State,7,
19,1,Sep 3 2011,Sat,Arizona,41,,Northern Arizona,10,
20,1,Sep 3 2011,Sat,(15) Arkansas,51,,Missouri State,7,
21,1,Sep 3 2011,Sat,(23) Auburn,42,,Utah State,38,
22,1,Sep 3 2011,Sat,Ball State,27,,Indiana,20,Indianapolis IN
23,1,Sep 3 2011,Sat,(5) Boise State,35,@,(19) Georgia,21,Atlanta GA
24,1,Sep 3 2011,Sat,Brigham Young,14,@,Mississippi,13,
25,1,Sep 3 2011,Sat,California,36,,Fresno State,21,San Francisco CA
26,1,Sep 3 2011,Sat,Central Florida,62,,Charleston Southern,0,
27,1,Sep 3 2011,Sat,Cincinnati,72,,Austin Peay,10,
28,1,Sep 3 2011,Sat,Clemson,43,,Troy,19,
29,1,Sep 3 2011,Sat,Colorado State,14,@,New Mexico,10,
30,1,Sep 3 2011,Sat,Connecticut,35,,Fordham,3,
31,1,Sep 3 2011,Sat,(22) Florida,41,,Florida Atlantic,3,
32,1,Sep 3 2011,Sat,(6) Florida State,34,,Louisiana-Monroe,0,
33,1,Sep 3 2011,Sat,Hawaii,34,,Colorado,17,
34,1,Sep 3 2011,Sat,Houston,38,,UCLA,34,
35,1,Sep 3 2011,Sat,Illinois,33,,Arkansas State,15,
36,1,Sep 3 2011,Sat,Iowa,34,,Tennessee Tech,7,
37,1,Sep 3 2011,Sat,Iowa State,20,,Northern Iowa,19,
38,1,Sep 3 2011,Sat,Kansas,42,,McNeese State,24,
39,1,Sep 3 2011,Sat,Kansas State,10,,Eastern Kentucky,7,
40,1,Sep 3 2011,Sat,(4) Louisiana State,40,,(3) Oregon,27,Arlington TX
41,1,Sep 3 2011,Sat,Michigan,34,,Western Michigan,10,
42,1,Sep 3 2011,Sat,(21) Missouri,17,,Miami (OH),6,
