-18,"T1",46.9,-0.7,57.4,11.0,308.8,29.8,381.9,57.7,422.5,-1.9,475.1,-0.3,-9.3,1.0,-2,-0.449,"AC","AC"
18,"T1",47.5,5.5,44.6,-4.4,287.2,4.2,353.1,-29.3,414.1,50.1,325.0,71.0,-11.9,-0.6,5,0.038,"AC","BT"
-4,"T1",54.4,-1.4,51.9,-11.7,276.9,14.5,347.4,-23.6,495.5,-31.3,349.5,46.5,-17.6,-1.2,0,-0.269,"AC","B2"
17,"T1",52.6,0.4,54.4,-14.2,307.2,-15.8,478.4,-154.6,429.9,34.3,340.3,55.7,17.7,-0.4,0,-0.115,"AC","AC"
-7,"T1",50.3,2.7,43.3,-3.1,285.2,6.2,324.0,-0.2,444.3,19.9,435.7,-39.7,-8.5,0.3,0,-0.115,"AC","AC"
35,"T1",57.7,-4.7,42.6,-2.4,326.4,-35.0,256.0,67.8,476.9,-12.7,470.2,-74.2,-10.0,0.5,2,0.250,"AC","AC"
-7,"T1",50.0,3.0,38.3,1.9,296.8,-5.4,292.8,31.0,475.4,-11.2,365.8,30.2,9.6,0.1,0,0.167,"AC","AC"
2,"T1",46.3,9.7,51.2,-1.6,280.6,-3.0,221.7,26.1,426.7,82.1,482.5,0.1,-9.7,-0.6,-2,-0.154,"AC","BE"
11,"T1",51.8,4.2,48.0,1.6,278.3,-0.7,286.0,-38.2,466.6,42.2,479.0,3.6,-2.9,0.4,0,-0.077,"AC","AC"
7,"T1",48.1,7.9,46.7,2.9,239.3,38.3,245.4,2.4,481.8,27.0,452.8,29.8,-6.4,-0.1,0,0.000,"AC","BE"
-6,"T1",48.1,7.9,51.3,-1.7,300.7,-23.1,269.6,-21.8,452.4,56.4,473.4,9.2,5.6,0.1,0,0.038,"AC","AC"
25,"T1",55.4,0.6,50.8,-1.2,308.6,-31.0,238.5,9.3,482.3,26.5,494.5,-11.9,-1.5,-0.9,0,0.077,"AC","AC"
16,"T1",59.2,-3.2,47.3,2.3,319.5,-41.9,218.0,29.8,499.2,9.6,513.5,-30.9,-4.4,0.6,2,0.288,"AC","AC"
-17,"B",51.5,4.5,57.6,-8.0,266.2,11.4,367.9,-120.1,507.0,1.8,472.8,9.8,-2.2,-0.4,0,-0.077,"AC","B2"
-10,"T1",54.3,2.1,59.0,-9.6,266.3,-56.7,447.7,-185.3,437.8,42.2,366.0,81.4,15.7,1.0,2,0.000,"AC","AC"
14,"T1",61.5,-5.1,47.3,2.1,291.8,-82.2,247.0,15.4,481.8,-1.8,497.9,-50.5,-13.3,2.1,0,0.365,"AC","MA"
13,"T1",53.0,3.4,52.7,-3.3,228.7,-19.1,270.0,-7.6,481.3,-1.3,478.1,-30.7,-7.6,1.3,0,0.077,"AC","AC"
24,"T1",57.5,-1.1,58.3,-8.9,281.7,-72.1,289.7,-27.3,457.5,22.5,506.0,-58.6,-9.6,1.2,0,-0.099,"AC","AC"
15,"T1",62.4,-6.0,47.8,1.6,324.6,-115.0,300.5,-38.1,477.4,2.6,434.0,13.4,-1.2,0.7,0,0.449,"AC","AC"
7,"B",48.3,8.1,46.6,2.8,205.3,4.3,252.7,9.7,467.4,12.6,435.2,12.2,-14.0,1.2,0,0.077,"AC","BE"
-6,"T1",44.0,2.4,60.7,-13.1,280.7,43.5,344.6,-65.6,462.1,13.3,468.4,-44.0,-26.7,-0.5,0,-0.242,"AC","CU"
1,"T1",56.4,-10.0,44.0,3.6,320.7,3.5,252.8,26.2,516.0,-40.6,400.5,23.9,-21.2,0.0,0,0.449,"AC","WA"
