39,Centenary (LA),/cfb/schools/centenary-la/,1930,1941,12,131,69,48,14,.580,1,0,0,1,.500,0.22,0.86,0,0,,
40,Central Florida,/cfb/schools/central-florida/,1996,2012,17,191,96,95,0,.503,4,1,3,0,.250,-3.48,-3.72,1,2,,
41,Central Michigan,/cfb/schools/central-michigan/,1975,2012,38,422,231,180,11,.560,6,2,4,0,.333,-6.88,-8.21,1,7,,
42,Centre,/cfb/schools/centre/,1919,1935,8,74,51,20,3,.709,3,2,1,0,.667,9.14,3.90,0,0,,
43,Chattanooga,/cfb/schools/chattanooga/,1909,1981,22,218,105,100,13,.511,,,,,,-5.92,-4.39,0,3,,
44,Chicago,/cfb/schools/chicago/,1892,1939,48,466,287,147,32,.650,,,,,,7.22,7.23,0,7,,
45,Cincinnati,/cfb/schools/cincinnati/,1954,2012,59,639,298,329,12,.476,10,5,5,0,.500,-3.42,-1.87,4,6,,
46,Citadel,/cfb/schools/citadel/,1909,1981,65,609,284,304,21,.484,1,1,0,0,1.000,-7.46,-4.66,0,1,,
47,Clemson,/cfb/schools/clemson/,1902,2012,111,1122,637,441,44,.587,34,16,18,0,.471,4.56,3.47,25,16,,
48,Coast Guard,/cfb/schools/coast-guard/,1944,1945,2,17,6,10,1,.382,,,,,,-4.66,1.22,0,0,,
49,Coe,/cfb/schools/coe/,1905,1905,1,9,1,7,1,.167,,,,,,-18.57,1.50,0,0,,
50,Colby,/cfb/schools/colby/,1904,1904,1,7,2,4,1,.357,,,,,,-8.02,3.23,0,0,,
51,Colgate,/cfb/schools/colgate/,1905,1981,76,670,363,266,41,.572,,,,,,-0.85,-1.68,0,0,,
52,Colorado,/cfb/schools/colorado/,1902,2012,111,1081,621,425,35,.591,28,12,16,0,.429,4.55,3.15,18,19,,
53,Colorado College,/cfb/schools/colorado-college/,1902,1945,39,296,169,109,18,.601,,,,,,-1.34,-0.80,1,2,,
54,Colorado Mines,/cfb/schools/colorado-mines/,1902,1937,36,239,98,128,13,.437,,,,,,-6.63,-0.31,0,3,,
55,Colorado State,/cfb/schools/colorado-state/,1902,2012,105,1012,469,512,31,.479,12,5,7,0,.417,-3.82,-1.07,3,15,W-L adjusted to 470-511-31 by NCAA (more,/cfb/friv/forfeits.cgi),
56,Columbia,/cfb/schools/columbia/,1870,1981,84,699,282,382,35,.428,1,1,0,0,1.000,-4.57,0.22,2,1,,
57,Connecticut,/cfb/schools/connecticut/,1979,2012,14,156,78,76,2,.506,5,3,2,0,.600,-2.16,-2.04,0,2,,
58,Cornell,/cfb/schools/cornell/,1888,1981,93,837,488,317,32,.602,,,,,,2.19,0.53,5,1,,
59,Cornell College,/cfb/schools/cornell-college/,1903,1903,1,9,1,8,0,.111,,,,,,-14.48,3.82,0,0,,
60,Creighton,/cfb/schools/creighton/,1927,1942,16,139,61,70,8,.468,,,,,,-6.26,-2.18,0,1,,
61,Cumberland,/cfb/schools/cumberland/,1903,1905,2,13,7,5,1,.577,,,,,,5.07,5.11,0,0,,
62,Dartmouth,/cfb/schools/dartmouth/,1881,1981,93,795,502,258,35,.653,,,,,,3.48,-0.26,5,12,,
63,Davidson,/cfb/schools/davidson/,1902,1973,66,600,248,312,40,.447,1,0,1,0,.000,-7.32,-3.38,0,1,,
64,Dayton,/cfb/schools/dayton/,1956,1976,21,216,78,130,8,.380,,,,,,-13.07,-7.94,0,0,,
65,Del Monte Pre-Flight,/cfb/schools/del-monte-pre-flight/,1943,1943,1,8,7,1,0,.875,,,,,,12.92,-4.55,1,0,,
66,Denver,/cfb/schools/denver/,1902,1960,59,520,259,228,33,.530,2,0,2,0,.000,-4.11,-1.73,0,6,,
67,Detroit Mercy,/cfb/schools/detroit-mercy/,1927,1964,36,338,196,132,10,.595,,,,,,0.24,-2.43,0,3,,
68,Dickinson,/cfb/schools/dickinson/,1889,1910,18,173,84,79,10,.514,,,,,,-3.35,1.15,0,0,,
69,Drake,/cfb/schools/drake/,1900,1985,73,666,316,326,24,.492,3,2,1,0,.667,-5.63,-2.99,0,7,,
70,Drury,/cfb/schools/drury/,1907,1907,1,5,1,4,0,.200,,,,,,-13.17,1.05,0,0,,
71,Duke,/cfb/schools/duke/,1922,2012,91,941,438,475,28,.480,8,3,5,0,.375,2.74,4.19,16,17,,
72,Duquesne,/cfb/schools/duquesne/,1933,1950,14,132,80,49,3,.617,1,1,0,0,1.000,1.05,-0.32,3,0,,
73,East Carolina,/cfb/schools/east-carolina/,1965,2012,48,532,280,249,3,.529,13,6,7,0,.462,-2.32,-2.22,2,6,W-L adjusted to 281-248-3 by NCAA (more,/cfb/friv/forfeits.cgi),
74,East Tennessee State,/cfb/schools/east-tennessee-state/,1979,1981,3,33,15,18,0,.455,,,,,,-9.46,-8.08,0,0,,
75,Eastern Michigan,/cfb/schools/eastern-michigan/,1975,2012,38,412,127,278,7,.317,1,1,0,0,1.000,-15.54,-7.73,0,1,,
76,Erskine,/cfb/schools/erskine/,1919,1936,5,39,12,27,0,.308,,,,,,-13.04,-2.38,0,0,,
77,Florida,/cfb/schools/florida/,1904,2012,101,1060,642,381,37,.623,39,20,19,0,.513,8.51,5.83,28,9,,
78,Florida A&amp;M,/cfb/schools/florida-am/,2004,2004,1,11,3,8,0,.273,,,,,,-21.65,-11.81,0,0,,
79,Florida Atlantic,/cfb/schools/florida-atlantic/,2004,2012,9,97,41,56,0,.423,2,2,0,0,1.000,-11.31,-5.07,0,1,,
